family,algorithm,n,p,relative risk,relative test error gaussian,proportion of variance explained gaussian,relative test error,proportion of variance explained,beta error,relative beta error,relative prediction error,corr,time
gaussian,sklearn_cv5,20,20,0.18454690309597097,2.0690758287096886,0.03550899514000725,2.0690758287096886,0.03550899514000725,1.1037266233772174,0.9471033934260661,0.9300928952431257,0.8308112835991991,0.756969586402908,0.019340991973876953
gaussian,sklearn_cv10,20,20,0.18454690309597097,2.0690758287096886,0.03550899514000725,2.0690758287096886,0.03550899514000725,1.1037266233772174,0.9471033934260661,0.9300928952431257,0.8308112835991991,0.756969586402908,0.03603029251098633
gaussian,gpu_woodbury,20,20,0.28567596541683316,5.937126106086643,0.0591134930160516,5.937126106086643,0.0591134930160516,0.8691576590190645,0.582392228066615,1.0471587735510879,0.8504558183108214,0.6907447385474853,2.83141827583313
gaussian,gpu_svd,20,20,0.28567596541682233,5.937126106086425,0.059113493016041276,5.937126106086425,0.059113493016041276,0.8691576590190571,0.582392228066596,1.0471587735510788,0.8504558183107936,0.6907447385474925,3.139153003692627
gaussian,gpu_rsvd,20,20,0.2856759654168226,5.937126106086431,0.05911349301604157,5.937126106086431,0.05911349301604157,0.8691576590190571,0.5823922280665955,1.0471587735510788,0.850455818310793,0.6907447385474924,3.1802055835723877
gaussian,cpu_woodbury,20,20,0.28567596541683027,5.937126106086584,0.05911349301604887,5.937126106086584,0.05911349301604887,0.8691576590190634,0.5823922280666058,1.0471587735510866,0.8504558183108081,0.6907447385474897,3.001481533050537
gaussian,cpu_svd,20,20,0.28567596541682305,5.93712610608644,0.05911349301604197,5.93712610608644,0.05911349301604197,0.8691576590190576,0.5823922280665963,1.0471587735510797,0.8504558183107942,0.6907447385474916,3.080490827560425
gaussian,cpu_rsvd,20,20,0.28567596541682283,5.937126106086435,0.05911349301604177,5.937126106086435,0.05911349301604177,0.8691576590190572,0.5823922280665957,1.047158773551079,0.8504558183107933,0.6907447385474921,2.987135648727417
gaussian,glmnet_cv5,20,20,0.19423130195551183,4.108232836860216,0.027976662661397245,4.108232836860216,0.027976662661397245,0.776722207230346,0.5606269146592894,0.9357927937161313,0.8186723628789585,0.6724378580807775,0.12680506706237793
gaussian,glmnet_cv10,20,20,0.22360679774997896,4.695742752749558,0.0,4.695742752749558,0.0,0.8300151619525735,0.6848000984029536,1.0,1.0,0.6513099886526961,0.22703242301940918
gaussian,sklearn_cv5,20,20,0.2437370699548174,5.0983481968463265,0.019171687814131803,5.0983481968463265,0.019171687814131803,0.7942857567090622,0.5550871249002748,0.9569533101546488,0.8105827177811641,0.6977456976235438,0.020184993743896484
gaussian,sklearn_cv10,20,20,0.17855314723627821,3.794669742475543,0.04290823858447691,3.794669742475543,0.04290823858447691,0.7076534635727575,0.48809834711016403,0.8525789600132537,0.712760334363963,0.7007241094650963,0.037994384765625
gaussian,gpu_woodbury,20,20,54.54987707854484,5.678594505604463,4.938751843708623,5.678594505604463,4.938751843708623,17.83077101453343,9.714745716981007,19.297499885957848,8.353165967996896,-0.2535480201876145,3.4313480854034424
gaussian,gpu_svd,20,20,54.54987707854291,5.678594505604272,4.938751843708449,5.678594505604272,4.938751843708449,17.830771014533365,9.714745716980513,19.29749988595778,8.35316596799647,-0.2535480201875381,3.4260435104370117
gaussian,gpu_rsvd,20,20,54.54987707854291,5.678594505604272,4.938751843708449,5.678594505604272,4.938751843708449,17.830771014533358,9.714745716980515,19.29749988595777,8.353165967996471,-0.25354802018753764,3.434709072113037
gaussian,cpu_woodbury,20,20,54.54987707854436,5.6785945056044165,4.938751843708581,5.6785945056044165,4.938751843708581,17.830771014533426,9.714745716980866,19.29749988595784,8.353165967996775,-0.25354802018758316,3.2416110038757324
gaussian,cpu_svd,20,20,54.54987707854291,5.678594505604271,4.938751843708449,5.678594505604271,4.938751843708449,17.830771014533358,9.714745716980513,19.29749988595777,8.35316596799647,-0.25354802018753897,3.2921714782714844
